BaseUrl,IsInStock,MPN,Model,PriceIncTax,QuantityAvailable,SKU,ShopSourceID,Title,Url
umart.com.au,false,MHR43X/A,MHR43X/A,"1,899.0",Null,59201,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 128GB - Space Grey (MHR43X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-128GB---Space-Grey--MHR43X-A_59201G.html
umart.com.au,false,MHR83X/A,MHR83X/A,"2,349.0",Null,59205,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 512GB - Space Grey (MHR83X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-512GB---Space-Grey--MHR83X-A_59205G.html
umart.com.au,false,MHR63X/A,MHR63X/A,"2,049.0",Null,59203,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 256GB - Space Grey (MHR63X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-256GB---Space-Grey--MHR63X-A_59203G.html
umart.com.au,false,MHR53X/A,MHR53X/A,"1,899.0",Null,59202,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 128GB - Silver (MHR53X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-128GB---Silver--MHR53X-A_59202G.html
umart.com.au,false,MHRA3X/A,MHRA3X/A,"2,949.0",Null,59207,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 1TB - Space Grey (MHRA3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-1TB---Space-Grey--MHRA3X-A_59207G.html
umart.com.au,false,MHR93X/A,MHR93X/A,"2,349.0",Null,59206,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 512GB - Silver (MHR93X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-512GB---Silver--MHR93X-A_59206G.html
umart.com.au,false,MHR73X/A,MHR73X/A,"2,049.0",Null,59204,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 256GB - Silver (MHR73X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-256GB---Silver--MHR73X-A_59204G.html
umart.com.au,false,MHR23X/A,MHR23X/A,"2,849.0",Null,59199,,Apple 11 inch iPad Pro - Apple M1 WiFi 2TB - Space Grey (MHR23X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---Apple-M1-WiFi-2TB---Space-Grey--MHR23X-A_59199G.html
umart.com.au,false,MHR03X/A,MHR03X/A,"2,249.0",Null,59198,,Apple 11 inch iPad Pro - Apple M1 WiFi 1TB - Silver MHR03X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---Apple-M1-WiFi-1TB---Silver-MHR03X-A_59198G.html
umart.com.au,false,MHQY3X/A,MHQY3X/A,"2,249.0",Null,59197,,Apple 11 inch iPad Pro - Apple M1 WiFi 1TB - Space Grey (MHQY3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---Apple-M1-WiFi-1TB---Space-Grey--MHQY3X-A_59197G.html
